Listagem dos 50 maiores tomadores de recursos do BNDES;;;;
;;;;
Tomador de recursos;Total;Financiamentos;Renda Variável;
PETROLEO BRASILEIRO S A PETROBRAS;19.299.996.467,00;19.299.996.467,00;0;
TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG;12.610.442.494,00;12.610.442.494,00;0;
ENERGIA SUSTENTAVEL DO BRASIL S.A.;7.220.000.000,00;7.220.000.000,00;0;
VALE S.A.;6.890.471.604,00;5.041.803.834,00;1.848.667.770,00;
EMBRAER S.A.;6.784.089.646,12;6.784.089.646,12;0;
SANTO ANTONIO ENERGIA S.A.;6.135.172.399,00;6.135.172.399,00;0;
CONSTRUTORA NORBERTO ODEBRECHT S.A.;5.977.629.017,25;5.977.629.017,25;0;
PETROBRAS TRANSPORTE S.A - TRANSPETRO;4.407.177.534,00;4.407.177.534,00;0;
OI MOVEL S.A. - EM RECUPERACAO JUDICIAL;4.387.308.369,00;4.387.308.369,00;0,00;
JBS S.A.;4.347.834.383,33;610.279.823,33;3.737.554.560,00;
TELEFONICA BRASIL S.A.;4.291.260.801,04;4.291.260.801,04;0,00;
BERTIN S.A.;3.406.081.959,06;906.152.227,06;2.499.929.732,00;
COMPANHIA SIDERURGICA NACIONAL;2.924.128.480,00;2.924.128.480,00;0;
ESTALEIRO ATLANTICO SUL SA;2.843.980.205,00;2.843.980.205,00;0,00;
FIBRIA CELULOSE S.A.;2.749.815.792,00;929.815.786,00;1.820.000.006,00;
ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A;2.323.119.400,00;2.323.119.400,00;0;
COMPANHIA PETROQUIMICA DE PERNAMBUCO-PETROQUIMICASUAPE;2.179.815.000,00;2.179.815.000,00;0;
ALCOA ALUMINIO S/A;2.100.000.001,00;2.100.000.001,00;0;
COMPANHIA BRASILEIRA DE ALUMINIO;1.894.870.523,86;1.894.870.523,86;0;
ESTADO DE SAO PAULO;1.874.000.000,00;1.874.000.000,00;0;
CNH INDUSTRIAL BRASIL LTDA.;1.748.396.291,32;1.748.396.291,32;0,00;
BRF - BRASIL FOODS S.A.;1.657.709.072,00;1.252.270.012,00;405.439.060,00;
FOZ DO CHAPECO ENERGIA S.A.;1.655.837.994,00;1.655.837.994,00;0;
GENERAL MOTORS DO BRASIL LTDA;1.608.900.300,98;1.608.900.300,98;0;
TERNIUM BRASIL LTDA.;1.487.533.586,00;1.487.533.586,00;0;
WEG EQUIPAMENTOS ELETRICOS S/A;1.456.078.010,16;1.456.078.010,16;0;
RUMO MALHA SUL S.A;1.442.688.253,70;1.442.688.253,70;0;
MRS LOGISTICA S.A;1.437.705.660,95;1.437.705.660,95;0;
ANGLO AMERICAN NIQUEL BRASIL LTDA;1.424.526.822,00;1.424.526.822,00;0;
PORTO DO PECEM GERACAO DE ENERGIA S/A;1.410.199.000,00;1.410.199.000,00;0;
FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;1.383.417.018,00;1.383.417.018,00;0,00;
INDUSTRIAS ROMI S A;1.338.028.355,06;1.258.078.355,06;79.950.000,00;
TELEMAR PARTICIPAÇÕES S.A.;1.239.615.500,00;0,00;1.239.615.500,00;
COMPANHIA DE SANEAMENTO DE MINAS GERAIS - COPASA MG;1.215.872.651,00;1.076.576.927,00;139.295.724,00;
SCANIA LATIN AMERICA LTDA;1.161.491.760,53;1.161.491.760,53;0;
FORD MOTOR COMPANY BRASIL LTDA;1.137.540.000,00;1.137.540.000,00;0;
MERCEDES-BENZ DO BRASIL LTDA.;1.130.958.747,00;1.130.958.747,00;0,00;
MARFRIG GLOBAL FOODS S.A.;1.101.167.044,00;114.135.683,00;987.031.361,00;
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PA;1.093.352.382,00;1.093.352.382,00;0;
BRENCO - COMPANHIA BRASILEIRA DE ENERGIA RENOVAVEL;1.090.117.511,00;1.090.117.511,00;0;
BRASKEM S A;1.087.931.618,00;1.087.931.618,00;0;
LIGHT SERVICOS DE ELETRICIDADE S A;1.078.288.960,00;1.078.288.960,00;0,00;
VALEPAR S.A.;1.066.860.294,00;0,00;1.066.860.294,00;
COMPANHIA ENERGETICA ESTREITO;1.048.967.200,00;1.048.967.200,00;0;
ITAQUI GERACAO DE ENERGIA S/A;1.038.098.162,00;1.038.098.162,00;0;
FURNAS-CENTRAIS ELETRICAS S.A.;1.034.410.400,00;1.034.410.400,00;0;
GERDAU ACOS LONGOS S.A.;1.015.946.992,04;1.015.946.992,04;0;
RENAULT DO BRASIL S.A;1.012.588.513,35;1.012.588.513,35;0;
ESTADO DO ACRE;996.242.338,00;996.242.338,00;0;
USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS;976.173.441,08;976.173.441,08;0;
